team1,team2,outcome,sd
RUS,TUN,1.0777666666666659,1.6217239079244452
KSA,TUN,0.16403333333333336,1.4443330777255494
EGY,TUN,-0.2705999999999999,1.6851959562085481
POR,TUN,1.1305000000000003,1.6390427100426703
ESP,TUN,0.8524333333333332,1.6369631564699827
MAR,TUN,-0.03049999999999997,1.4493574905391267
IRN,TUN,0.28606666666666664,1.4944792920903092
FRA,TUN,0.8248000000000001,1.5265535337428442
AUS,TUN,0.38980000000000015,1.3472265332887887
PER,TUN,-0.8509666666666664,1.7416686751481838
DEN,TUN,0.8631666666666669,1.5957136399454892
ARG,TUN,1.1030666666666666,1.7072880491420492
ISL,TUN,-0.7792333333333331,1.926682283477261
CRO,TUN,0.9153333333333332,1.5771764058833098
NGA,TUN,0.3568,1.428061713755525
BRA,TUN,0.9728666666666667,1.5544154232216147
SUI,TUN,0.8561666666666669,1.516349433154865
CRC,TUN,0.3760333333333332,1.6606861769364032
SRB,TUN,0.30466666666666664,1.7404526600959824
GER,TUN,1.1673000000000007,1.9903541998329584
SWE,TUN,0.7872,1.6849153078849528
MEX,TUN,0.5610666666666668,1.4020259127372219
KOR,TUN,0.6895333333333334,1.38287487231913
BEL,TUN,0.8120666666666667,1.6049501594982292
PAN,TUN,-0.2202999999999998,1.6652771826573036
ENG,TUN,1.2139999999999997,2.0419576292609922
POL,TUN,0.6516999999999998,1.6243142187212603
SEN,TUN,0.08506666666666667,1.2833180628749064
COL,TUN,0.6451999999999998,1.6305124250379304
JPN,TUN,0.2997999999999999,1.288654811206201
EGY,ENG,-1.3734,1.973861762147413
AUS,ENG,-1.076633333333333,1.7477421573649228
DEN,ENG,-0.7944666666666668,1.6708749289754694
ARG,ENG,0.6670333333333333,1.5831501068261689
CRO,ENG,-0.5483333333333337,2.0173215893883274
BRA,ENG,0.5755333333333333,1.7488910008342233
CRC,ENG,-1.1407,1.622167352462237
BEL,ENG,-0.2864,1.6808069283911589
COL,ENG,-0.6662333333333329,1.7916082406468454
KSA,POL,-0.5281333333333333,2.1817221803505036
EGY,POL,-0.7848333333333334,1.9621449425440267
ESP,POL,0.5464666666666667,1.5984582459967658
MAR,POL,-0.7589999999999999,1.892061166448334
IRN,POL,-0.3167333333333335,2.2125942611574296
FRA,POL,0.2998333333333333,1.5004328311173154
AUS,POL,-0.5778000000000002,2.0185229547187076
PER,POL,-0.6420333333333332,1.6198124738550659
DEN,POL,0.3494333333333333,1.4479837297224232
ARG,POL,0.6697666666666664,1.9020222251244892
ISL,POL,-0.9014999999999997,2.0319564736697595
CRO,POL,0.3577333333333333,1.6294834100039397
NGA,POL,-0.42066666666666674,1.9417415574962007
BRA,POL,0.6495333333333332,1.8504853828940688
CRC,POL,-0.3402666666666668,1.935852462399711
GER,POL,0.9076666666666666,1.7455166031807072
MEX,POL,-0.11270000000000001,1.9237665366663952
KOR,POL,-0.19876666666666667,2.0643168518413684
BEL,POL,0.22893333333333338,1.6792217742423825
PAN,POL,-0.49606666666666677,1.6776744289777914
ENG,POL,1.234033333333333,1.9456198226013501
COL,POL,0.23159999999999997,1.5381387972797422
JPN,POL,-0.4490999999999998,2.0265070898726067
RUS,SEN,0.9240666666666664,1.7714027328505981
KSA,SEN,0.35843333333333344,1.4898242731785942
EGY,SEN,-0.5309999999999999,1.7355658827663099
POR,SEN,1.1249,1.7184544235026298
ESP,SEN,0.7312666666666665,1.7988730594802411
MAR,SEN,0.03556666666666668,1.4687807420376964
IRN,SEN,0.3228333333333332,1.6189200442810958
FRA,SEN,0.8269333333333333,1.529864558282508
AUS,SEN,0.31353333333333316,1.3961836698307375
PER,SEN,-1.1642333333333337,1.88922314026241
DEN,SEN,0.7718000000000003,1.6419260173763979
ARG,SEN,1.1484333333333334,1.8225978541901169
ISL,SEN,-0.8902333333333331,1.894958872444601
CRO,SEN,0.853866666666667,1.6421105297029492
NGA,SEN,0.39880000000000015,1.5630405825943179
BRA,SEN,0.9643666666666666,1.718923498844159
CRC,SEN,0.3340666666666668,1.6773367585692922
GER,SEN,1.1186000000000003,2.1051795493980414
MEX,SEN,0.6068666666666667,1.394681887912177
KOR,SEN,0.5617666666666669,1.457486638834999
BEL,SEN,0.5474,1.6538642953847302
PAN,SEN,-0.3603666666666668,1.6719681144874854
ENG,SEN,1.2451666666666668,2.190845885662152
POL,SEN,0.6394333333333336,1.6539447696481697
COL,SEN,0.5774999999999999,1.7847450617459089
JPN,SEN,0.3148,1.4336808328040058
AUS,COL,-0.5534333333333334,1.7469810110828181
ARG,COL,0.6820666666666666,1.6508503223815136
BRA,COL,0.5603333333333335,1.6313082684356952
BEL,COL,0.4177000000000002,1.7426106163417692
EGY,JPN,-0.6408333333333336,1.7536112420116245
ESP,JPN,0.8022666666666668,2.0286772736784076
IRN,JPN,-0.001699999999999991,1.6744507266646012
FRA,JPN,0.7162666666666666,1.6775034651980611
AUS,JPN,-0.0223,1.6433150136305585
DEN,JPN,0.4518999999999999,1.6750122553116504
ARG,JPN,0.9777666666666668,1.9791691325794152
ISL,JPN,-0.6691333333333334,1.989798778917956
CRO,JPN,0.4643000000000001,1.7424614034100256
BRA,JPN,0.8872999999999996,1.766594930230826
CRC,JPN,0.11036666666666663,1.7839963054496324
GER,JPN,1.0040666666666667,2.3341381654229254
BEL,JPN,0.4145666666666666,1.7733534269784392
ENG,JPN,1.241400000000001,2.4758275689087483
COL,JPN,0.36426666666666674,1.6312642191171272
